Wall time,Step,Value
1768490638.6234188,0,1.7929422855377197
1768490644.3408546,1,1.5221877098083496
1768490651.9791667,2,1.4134961366653442
1768490659.8334107,3,1.3278477191925049
1768490667.296176,4,1.2722663879394531
1768490673.067782,5,1.213950276374817
1768490678.6900766,6,1.1825653314590454
1768490684.1091642,7,1.138407588005066
1768490689.5724576,8,1.1130372285842896
1768490695.0483131,9,1.0820320844650269
1768490700.7711937,10,1.0348390340805054
1768490706.384276,11,1.0179065465927124
1768490711.861814,12,0.9990147352218628
1768490717.426934,13,0.9658464193344116
1768490722.9399776,14,0.9527628421783447
1768490728.4730802,15,0.9339690208435059
1768490733.8927388,16,0.921438992023468
1768490739.2642128,17,0.8974933624267578
1768490744.7128413,18,0.8767320513725281
1768490750.2526226,19,0.8519406318664551
1768490755.7153723,20,0.8360697627067566
1768490761.1631527,21,0.8233142495155334
1768490766.629419,22,0.8145866394042969
1768490772.0003195,23,0.7881487607955933
1768490777.5098212,24,0.7770867943763733
1768490782.9472775,25,0.7574390172958374
1768490788.4923708,26,0.7482778429985046
1768490794.0146456,27,0.7356690764427185
1768490799.3820221,28,0.7272771596908569
1768490805.0271149,29,0.7139873504638672
1768490810.7602522,30,0.7033486366271973
1768490816.374484,31,0.6854816675186157
1768490821.8569233,32,0.6759865880012512
1768490827.2782798,33,0.6741924285888672
1768490832.7175043,34,0.6623790264129639
1768490838.3341212,35,0.6502403616905212
1768490843.819971,36,0.6464968323707581
1768490849.298,37,0.6322196125984192
1768490854.7983005,38,0.6184784770011902
1768490860.4291427,39,0.6061527132987976
1768490865.9613407,40,0.5985620617866516
1768490871.3338363,41,0.582510232925415
1768490876.849188,42,0.5860896706581116
1768490882.304648,43,0.5760640501976013
1768490887.8298144,44,0.555488646030426
1768490893.20985,45,0.557851254940033
1768490898.699953,46,0.5449098944664001
1768490904.095873,47,0.5338943600654602
1768490909.5622168,48,0.5276815295219421
1768490915.166116,49,0.5279324054718018
